"","kdrama_name","platform"
"473","Five Enough","Viki"
"474","Five Enough","KBS World"
"475","Five Fingers","Viki"
"477","Flower Crew: Joseon Marriage Agency","Disney Hotstar"
"478","Flower Crew: Joseon Marriage Agency","Viki"
"479","Flower Crew: Joseon Marriage Agency","WeTV"
"480","Flower Crew: Joseon Marriage Agency","Netflix"
"482","Flower of Evil","Apple TV"
"483","Flower of Evil","Hulu"
"484","Flower of Evil","Viki"
"487","Flowers of the Prison","Viki"
"489","Forecasting Love and Weather","TVING"
"490","Forecasting Love and Weather","Netflix"
"491","Forest","Apple TV"
"492","Forest","Viki"
"494","Foundation of the Kingdom","KBS Drama Classic"
"498","From Now On, Showtime!","Viki"
"499","Full House Take 2","Viki"
"500","Gangnam Beauty","Disney Hotstar"
"501","Gangnam Beauty","WeTV"
"502","Gangnam Beauty","Netflix"
"503","Gangnam Beauty","Apple TV"
"504","Gangnam Beauty","iflix"
"505","Gangnam Beauty","Viki"
"508","Get Revenge","Viki"
"510","Ghost Doctor","Viki"
"511","Ghost Doctor","Netflix"
"512","Ghost Doctor","TVING"
"513","Girls' Generation 1979","Viki"
"514","Glamorous Temptation","Viki"
"518","Glitch","Netflix"
"522","Go Back","PlayList Global"
"524","Goddess of Fire","Viki"
"525","Goddess of Marriage","SBS World"
"526","Goddess of Marriage","Viki"
"527","God's Gift: 14 Days","SBS World"
"528","God's Gift: 14 Days","Viki"
"529","Gogh, The Starry Night","Viki"
"533","Golden Cross","Viki"
"536","Golden Rainbow","Viki"
"538","Golden Time","Viki"
"539","Good Casting","SBS World"
"540","Good Casting","Viki"
"541","Good Doctor","Viki"
"543","Good Manager","Viki"
"544","Goodbye Dear Wife","AsianCrush"
"545","Goodbye Dear Wife","Netflix"
"546","Goodbye Mr. Black","iWant TFC"
"547","Goodbye Mr. Black","Viki"
"550","Goodbye to Goodbye","Viki"
"551","Graceful Family","Viki"
"552","Graceful Friends","Disney Hotstar"
"553","Graceful Friends","Netflix"
"554","Gracious Revenge","KBS World"
"555","Grand Prince","Viki"
"556","Green Mothers' Club","TVING"
"557","Green Mothers' Club","Netflix"
"558","Grid","Disney Hotstar"
"559","Gu Family Book","Viki"
"560","Gu Family Book","Apple TV"
"561","Gu Family Book","Prime Video"
"563","Guardian: The Lonely and Great God","Apple TV"
"564","Guardian: The Lonely and Great God","iflix"
"565","Guardian: The Lonely and Great God","Viki"
"566","Gunman in Joseon","KBS World"
"567","Gunman in Joseon","Viki"
"568","Gwanggaeto, The Great Conqueror","KBS Drama Classic"
"569","Gyebaek","Viki"
"570","Haechi","Viki"
"571","Happiness","TVING"
"572","Happiness","Viki"
"573","Happiness","WeTV"
"574","Happiness","Netflix"
"579","He Is Psychometric","Viki"
"580","He Is Psychometric","WeTV"
"581","He Is Psychometric","KDRAMA"
"582","He Is Psychometric","Apple TV"
"583","Healer","Viki"
"584","Healer","Apple TV"
"585","Healer","Prime Video"
"586","Heard It Through the Grapevine","Viki"
"587","Heart Surgeons","SBS World"
"588","Heart Surgeons","Viki"
"590","Heartless City","Viki"
"591","Heartstrings","Viki"
"592","Hell Is Other People","Prime Video"
"593","Hell Is Other People","Netflix"
"594","Hell Is Other People","KDRAMA"
"595","Hellbound","Netflix"
"597","Hello Monster","Apple TV"
"598","Hello Monster","Viki"
"599","Hello, Me!","Netflix"
"600","Hello, My Twenties!","Prime Video"
"601","Hello, My Twenties!","Netflix"
"602","Hello, My Twenties!","Apple TV"
"603","Her Private Life","WeTV"
"604","Her Private Life","Netflix"
"605","Her Private Life","Apple TV"
"606","Her Private Life","Prime Video"
"607","Her Private Life","Viki"
"609","Here's My Plan","Wavve"
"610","Here's My Plan","Viki"
"612","Hi Bye, Mama!","Netflix"
"613","Hi! School: Love On","KBS World"
"614","Hi! School: Love On","Viki"
"615","Hi! School: Love On","Netflix"
"617","Hide and Seek","Apple TV"
"618","Hide and Seek","Viki"
"619","High Class","TVING"
"620","High Class","WeTV"
"621","High End Crush","Viki"
"624","High School King of Savvy","Apple TV"
"625","High School King of Savvy","Viki"
"626","High Society","SBS World"
"627","High Society","Viki"
"628","High Society","SBS VOD"
"630","Hit the Top","Viki"
"631","Hit the Top","Apple TV"
"632","Hogu's Love","AsianCrush"
"633","Hogu's Love","Prime Video"
"634","Hold Me Tight","Viki"
"636","Home for Summer","KBS World"
"637","Homemade Love Story","KBS World"
"638","Homemade Love Story","Viki"
"639","Homemade Love Story","Netflix"
"640","Hometown","TVING"
"641","Hometown","WeTV"
"642","Hometown","Netflix"
"643","Hometown Cha-Cha-Cha","TVING"
"644","Hometown Cha-Cha-Cha","Netflix"
"646","Hospital Playlist","Netflix"
"648","Hot Stove League","Viki"
"649","Hot Stove League","Netflix"
"650","Hotel del Luna","WeTV"
"651","Hotel del Luna","Netflix"
"652","Hotel del Luna","KDRAMA"
"653","Hotel del Luna","Apple TV"
"654","Hotel del Luna","Viki"
"657","House of Bluebird","KBS World"
"658","How Are U Bread","Viki"
"659","How Long I've Kissed","Viki"
"660","How to Be Thirty","Kakao TV"
"661","How to Be Thirty","Viki"
"662","How to Buy a Friend","Viki"
"668","Hwarang: The Poet Warrior Youth","WeTV"
"669","Hwarang: The Poet Warrior Youth","Netflix"
"670","Hwarang: The Poet Warrior Youth","Apple TV"
"671","Hwarang: The Poet Warrior Youth","Viki"
"672","Hyde Jekyll, Me","iWant TFC"
"673","Hyde Jekyll, Me","SBS World"
"674","Hyde Jekyll, Me","Viki"
"675","Hyde Jekyll, Me","Netflix"
"677","I Can Hear Your Voice","WeTV"
"678","I Can Hear Your Voice","Apple TV"
"679","I Can Hear Your Voice","Viki"
"680","I Do, I Do","Viki"
"681","I Have a Lover","SBS World"
"682","I Have a Lover","Viki"
"683","I Have a Lover","iWant TFC"
"685","I Love Lee Taly","Viki"
"689","I Order You","Viki"
"690","I Picked Up a Celebrity on the Street","Apple TV"
"691","I Picked Up a Celebrity on the Street","Viki"
"692","I Wanna Hear Your Song","Viki"
"694","I'm Not a Robot","WeTV"
"695","I'm Not a Robot","Apple TV"
"696","I'm Not a Robot","Viki"
"697","I'm Sorry, But I Love You","KBS World"
"698","I'm Sorry, But I Love You","Viki"
"699","I'm Sorry, I Love You","KBS World"
"700","I'm Sorry, I Love You","Viki"
"701","Ice Adonis","KDRAMA"
"702","Idol Drama Operation Team","KBS World"
"705","If You Wish Upon Me","Wavve"
"706","If You Wish Upon Me","Viki"
"708","Imaginary Cat","Viki"
"709","Imitation","Viki"
"710","Imitation","Netflix"
"713","Incarnation of Money","SBS World"
"714","Innocent Defendant","Viki"
"715","Innocent Defendant","SBS VOD"
"716","Insider","Viki"
"717","Inspector Koo","Netflix"
"721","Introverted Boss","KDRAMA"
"722","Introverted Boss","WeTV"
"723","Introverted Boss","Netflix"
"725","Iris","WeTV"
"726","Iris II: New Generation","WeTV"
"728","Itaewon Class","Netflix"
"729","Item","Apple TV"
"730","Item","Viki"
"731","It's Beautiful Now","KBS World"
"732","It's My Life","KBS World"
"733","It's Okay to Not Be Okay","Netflix"
"734","It's Okay, That's Love","Disney Hotstar"
"735","It's Okay, That's Love","WeTV"
"736","It's Okay, That's Love","Viki"
"737","Jang Bo-ri Is Here!","Viki"
"741","Jinxed at First","Viki"
"742","Jirisan","TVING"
"743","Jirisan","Viki"
"745","Joseon Exorcist","WeTV"
"747","JTBC Drama Festa","TVING"
"748","JTBC Drama Festa","Netflix"
"749","Judge vs. Judge","SBS World"
"750","Judge vs. Judge","Viki"
"751","Judge vs. Judge","Netflix"
"752","Jugglers","Viki"
"754","Jungle Fish","KBS World"
"755","Just Dance","Viki"
"756","Justice","Apple TV"
"757","Justice","Viki"
"758","Juvenile Justice","Netflix"
"759","Kairos","Apple TV"
"760","Kairos","Viki"
"761","My Prettiest Moments","Viki"
"765","Eunhui","KBS World"
"769","Samsaengi","KBS World"
"774","Kill Heel","Viki"
"775","Kill It","Viki"
"776","Kill It","WeTV"
"777","Kill Me, Heal Me","WeTV"
"778","Kill Me, Heal Me","Apple TV"
"779","Kill Me, Heal Me","China Huace TV"
"780","Kill Me, Heal Me","Viki"
"783","Kimchi Family","Viki"
"784","King of Ambition","SBS World"
"785","King of Ambition","Viki"
"786","Kingdom","Netflix"
"787","Kingmaker: The Change of Destiny","KDRAMA"
"788","Kingmaker: The Change of Destiny","Viki"
"789","Kiss Sixth Sense","Disney Hotstar"
"790","Kkondae Intern","WeTV"
"791","Kkondae Intern","Viki"
"793","L.U.C.A.: The Beginning","Viki"
"794","L.U.C.A.: The Beginning","WeTV"
"795","L.U.C.A.: The Beginning","TVING"
"798","Last","Viki"
"800","Law School","Netflix"
"801","Lawless Lawyer","WeTV"
"802","Lawless Lawyer","Netflix"
"803","Lawless Lawyer","KDRAMA"
"804","Lawless Lawyer","Apple TV"
"805","Lawless Lawyer","Viki"
"807","Left-Handed Wife","KBS World"
"808","Legal High","Viki"
"810","Less Than Evil","Viki"
"811","Let Me Be Your Knight","Viki"
"812","Let Me Introduce Her","Apple TV"
"813","Let Me Introduce Her","SBS World"
"814","Let Me Introduce Her","Viki"
"815","Let's Eat","Netflix"
"817","Let's Eat 3","KDRAMA"
"818","Level Up","Apple TV"
"819","Level Up","Viki"
"822","Lie After Lie","Viki"
"823","Lie to Me","Viki"
"824","Lie to Me","Netflix"
"825","Life","Netflix"
