기간,Dubai,Brent,WTI
22년02월23일,93.65,96.84,92.10
22년02월24일,98.64,99.08,92.81
22년02월25일,95.84,97.93,91.59
22년02월28일,96.86,100.99,95.72
22년03월01일,98.71,104.97,103.41
22년03월02일,110.05,112.93,110.60
22년03월03일,116.65,110.46,107.67
22년03월04일,108.84,118.11,115.68
22년03월07일,125.19,123.21,119.40
22년03월08일,122.99,127.98,123.70
22년03월09일,127.86,111.14,108.70
22년03월10일,115.33,109.33,106.02
22년03월11일,110.49,112.67,109.33
22년03월14일,109.88,106.90,103.01
22년03월15일,99.78,99.91,96.44
22년03월16일,102.52,98.02,95.04
22년03월17일,100.86,106.64,102.98
22년03월18일,106.62,107.93,104.70
22년03월21일,109.81,115.62,112.12
22년03월22일,111.19,115.48,111.76
22년03월23일,111.80,121.60,114.93
22년03월24일,115.60,119.03,112.34
22년03월25일,111.93,120.65,113.90
22년03월28일,110.67,112.48,105.96
22년03월29일,108.58,110.23,104.24
22년03월30일,108.38,113.45,107.82
22년03월31일,107.71,107.91,100.28
22년04월01일,101.61,104.39,99.27
22년04월04일,101.84,107.53,103.28
22년04월05일,105.34,106.64,101.96
22년04월06일,103.79,101.07,96.23
22년04월07일,97.41,100.58,96.03
22년04월08일,98.14,102.78,98.26
22년04월11일,97.64,98.48,94.29
22년04월12일,98.14,104.64,100.60
22년04월13일,102.44,108.78,104.25
22년04월14일,105.88,111.70,106.95
22년04월18일,108.11,113.16,108.21
22년04월19일,108.69,107.25,102.56
22년04월20일,105.56,106.80,102.75
22년04월21일,106.17,108.33,103.79
22년04월22일,105.04,106.65,102.07
22년04월25일,99.72,102.32,98.54
22년04월26일,99.57,104.99,101.70
22년04월27일,103.05,105.32,102.02
22년04월28일,102.83,107.59,105.36
22년04월29일,105.37,109.34,104.69
22년05월02일,,107.58,105.17
22년05월03일,,104.97,102.41
22년05월04일,104.70,110.14,107.81
22년05월05일,106.66,110.90,108.26
22년05월06일,107.82,112.39,109.77
22년05월09일,107.99,105.94,103.09
22년05월10일,103.13,102.46,99.76
22년05월11일,102.94,107.51,105.71
22년05월12일,102.81,107.45,106.13
22년05월13일,106.65,111.55,110.49
22년05월16일,,114.24,114.20
22년05월17일,110.88,111.93,112.40
22년05월18일,109.79,109.11,109.59
22년05월19일,105.52,112.04,112.21
22년05월20일,108.07,112.55,113.23
22년05월23일,109.47,113.42,110.29
22년05월24일,107.94,113.56,109.77
22년05월25일,109.19,114.03,110.33
