"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"용산구","20~24세","총인구_남자(명)","","5970",
"용산구","20~24세","총인구_여자(명)","","7696",
"용산구","25~29세","총인구(명)","","20270",
"용산구","25~29세","총인구_남자(명)","","9582",
"용산구","25~29세","총인구_여자(명)","","10688",
"용산구","30~34세","총인구(명)","","20341",
"용산구","30~34세","총인구_남자(명)","","10211",
"용산구","30~34세","총인구_여자(명)","","10130",
"용산구","35~39세","총인구(명)","","18855",
"용산구","35~39세","총인구_남자(명)","","9570",
"용산구","35~39세","총인구_여자(명)","","9285",
"용산구","40~44세","총인구(명)","","16947",
"용산구","40~44세","총인구_남자(명)","","8610",
"용산구","40~44세","총인구_여자(명)","","8337",
"용산구","45~49세","총인구(명)","","16726",
"용산구","45~49세","총인구_남자(명)","","8269",
"용산구","45~49세","총인구_여자(명)","","8457",
"용산구","50~54세","총인구(명)","","18623",
"용산구","50~54세","총인구_남자(명)","","9116",
"용산구","50~54세","총인구_여자(명)","","9507",
"용산구","55~59세","총인구(명)","","16528",
"용산구","55~59세","총인구_남자(명)","","8212",
"용산구","55~59세","총인구_여자(명)","","8316",
"용산구","60~64세","총인구(명)","","16016",
"용산구","60~64세","총인구_남자(명)","","7743",
"용산구","60~64세","총인구_여자(명)","","8273",
"용산구","65~69세","총인구(명)","","11923",
"용산구","65~69세","총인구_남자(명)","","5622",
"용산구","65~69세","총인구_여자(명)","","6301",
"용산구","70~74세","총인구(명)","","8394",
"용산구","70~74세","총인구_남자(명)","","3800",
"용산구","70~74세","총인구_여자(명)","","4594",
"용산구","75~79세","총인구(명)","","6764",
"용산구","75~79세","총인구_남자(명)","","2860",
"용산구","75~79세","총인구_여자(명)","","3904",
"용산구","80~84세","총인구(명)","","5014",
"용산구","80~84세","총인구_남자(명)","","1968",
"용산구","80~84세","총인구_여자(명)","","3046",
"용산구","85~89세","총인구(명)","","2546",
"용산구","85~89세","총인구_남자(명)","","868",
"용산구","85~89세","총인구_여자(명)","","1678",
"용산구","90~94세","총인구(명)","","843",
"용산구","90~94세","총인구_남자(명)","","262",
"용산구","90~94세","총인구_여자(명)","","581",
"용산구","95~99세","총인구(명)","","182",
"용산구","95~99세","총인구_남자(명)","","58",
"용산구","95~99세","총인구_여자(명)","","124",
"용산구","100세이상","총인구(명)","","26",
"용산구","100세이상","총인구_남자(명)","","6",
"용산구","100세이상","총인구_여자(명)","","20",
"용산구","15세미만","총인구(명)","","20940",
"용산구","15세미만","총인구_남자(명)","","10658",
"용산구","15세미만","총인구_여자(명)","","10282",
"용산구","15~64세","총인구(명)","","165056",
"용산구","15~64세","총인구_남자(명)","","80808",
"용산구","15~64세","총인구_여자(명)","","84248",
"용산구","65세이상","총인구(명)","","35692",
"용산구","65세이상","총인구_남자(명)","","15444",
"용산구","65세이상","총인구_여자(명)","","20248",
"용산구","85세이상","총인구(명)","","3597",
"용산구","85세이상","총인구_남자(명)","","1194",
"용산구","85세이상","총인구_여자(명)","","2403",
"용산구","평균연령","총인구(명)","","43.4",
"용산구","평균연령","총인구_남자(명)","","42.7",
"용산구","평균연령","총인구_여자(명)","","44.1",
"용산구","중위연령","총인구(명)","","42.7",
"용산구","중위연령","총인구_남자(명)","","42.1",
"용산구","중위연령","총인구_여자(명)","","43.3",
"성동구","합계","총인구(명)","","286469",
"성동구","합계","총인구_남자(명)","","139181",
"성동구","합계","총인구_여자(명)","","147288",
"성동구","0~4세","총인구(명)","","9376",
"성동구","0~4세","총인구_남자(명)","","4799",
"성동구","0~4세","총인구_여자(명)","","4577",
"성동구","5~9세","총인구(명)","","9740",
"성동구","5~9세","총인구_남자(명)","","4920",
"성동구","5~9세","총인구_여자(명)","","4820",
"성동구","10~14세","총인구(명)","","8361",
"성동구","10~14세","총인구_남자(명)","","4250",
"성동구","10~14세","총인구_여자(명)","","4111",
